S02PM25,S09PM2.5,S03PM25,S08PM25,S10PM25,S14PM2.5,S15PM25,S17PM25,S18PM25,S19PM25,S20PM25
15,7,13,15,15,9,7,15,12,10,13
15,7,12,15,15,9,7,15,12,10,13
15,7,12,16,15,9,7,15,12,11,13
15,8,12,16,15,9,6,16,12,11,14
16,9,12,16,15,9,6,16,12,11,14
16,9,12,16,14,10,6,17,12,10,16
16,9,12,16,14,10,6,15,12,10,16
17,9,12,16,14,10,7,15,12,10,16
16,10,12,17,15,9,7,15,12,10,18
16,10,12,17,14,9,7,15,12,10,17
16,9,12,16,14,9,6,15,12,10,17
16,10,12,16,14,9,6,15,12,11,17
16,10,12,16,14,8,6,16,11,11,16
15,10,12,16,14,8,6,16,11,11,16
15,12,12,16,14,7,7,16,11,10,16
15,12,12,17,15,7,7,17,10,10,17
14,12,12,16,15,7,7,17,10,10,17
14,12,12,17,15,8,7,17,10,10,17
14,12,12,16,15,8,7,16,10,9,15
14,12,13,17,15,9,7,15,10,9,15
14,13,13,18,15,8,7,15,10,10,15
14,13,13,18,15,8,6,16,10,11,15
13,13,13,18,15,8,6,17,10,11,16
13,13,13,20,15,8,6,18,10,12,16
13,13,13,19,14,8,7,19,10,12,15
14,13,13,19,14,8,7,19,10,12,15
14,13,13,20,14,9,7,17,10,12,15
14,12,13,20,15,9,7,17,10,12,15
14,12,13,20,15,9,7,18,10,12,15
14,12,13,20,15,8,7,17,10,13,14
14,14,13,20,14,8,7,18,10,13,13
12,14,12,20,14,8,7,16,11,13,13
13,14,11,20,14,8,7,17,11,13,14
13,12,11,20,14,8,7,17,11,13,13
14,11,12,20,14,8,7,17,11,13,13
14,13,13,20,14,8,7,17,11,13,13
14,13,13,20,14,8,7,15,10,13,12
13,13,13,20,14,8,7,15,10,13,12
13,15,13,20,14,8,6,15,10,13,12
13,16,13,20,14,8,6,17,10,13,11
12,14,12,20,14,8,6,17,10,13,11
12,15,12,19,14,8,7,17,10,13,11
12,15,12,19,14,8,7,18,10,13,11
13,15,13,19,14,8,7,17,10,13,11
13,15,13,19,14,8,7,17,10,14,11
13,14,13,19,14,8,6,17,11,14,11
14,14,13,19,14,8,5,17,11,14,12
14,14,13,18,14,9,5,17,11,13,12
14,14,13,18,15,9,6,16,12,13,13
13,14,12,18,15,9,7,16,12,13,13
13,15,12,17,15,9,7,16,12,12,13
13,15,12,17,14,9,7,16,12,12,13
13,14,13,17,14,9,7,16,12,12,13
13,14,13,16,14,10,7,16,12,13,12
13,13,13,16,16,10,7,17,12,13,13
13,14,12,16,16,10,7,17,12,13,13
13,14,13,15,15,9,7,17,12,12,13
13,13,13,15,14,9,7,17,12,12,12
13,13,14,15,14,9,6,17,12,12,12
13,14,14,15,14,9,6,17,12,12,12
12,15,14,15,16,9,6,17,13,12,13
12,14,14,15,16,9,6,17,13,12,13
12,14,14,16,16,9,7,17,13,11,13
13,15,14,16,16,9,7,17,12,11,13
12,15,15,16,16,9,8,18,12,11,13
12,15,15,14,16,9,8,18,12,12,13
12,13,14,14,17,9,8,17,13,13,14
12,13,14,14,17,8,8,16,13,13,15
12,13,14,14,17,8,8,16,13,13,15
12,12,14,14,17,8,8,16,13,13,14
13,12,16,14,17,8,8,16,13,13,14
13,12,16,13,17,8,8,16,13,12,14
13,12,16,13,18,8,8,15,13,12,14
12,12,14,12,18,8,8,15,13,12,14
12,12,14,12,17,10,8,15,13,12,14
12,11,14,12,18,10,8,15,13,12,14
13,11,14,13,18,10,8,15,13,12,14
13,11,15,11,19,8,8,15,13,13,14
13,11,15,11,19,8,8,15,13,13,14
14,11,15,11,19,8,9,15,13,13,14
14,11,15,11,19,8,9,15,13,12,14
14,10,15,11,18,8,9,17,13,12,14
14,10,16,11,18,8,8,17,13,12,14
14,10,16,11,18,7,8,17,13,13,14
14,10,16,11,19,8,8,16,13,13,14
14,10,16,11,19,8,8,16,13,13,14
14,10,16,10,19,8,8,16,13,13,14
14,9,15,10,19,8,8,16,13,12,14
14,9,14,10,19,8,8,16,13,12,14
14,9,14,10,19,8,8,16,13,11,14
14,10,14,10,18,8,8,15,12,12,14
13,10,15,10,18,8,8,15,12,12,14
13,10,15,10,18,8,8,15,12,12,14
13,9,15,10,18,8,8,15,12,11,13
14,8,16,10,18,8,7,15,12,11,13
14,8,16,11,18,8,7,15,12,10,13
14,8,16,11,17,8,7,15,11,10,13
13,8,16,11,17,8,7,15,11,11,13
13,8,16,11,17,7,7,15,11,11,13
13,9,16,11,16,7,7,15,11,11,13
11,9,15,11,16,7,7,15,12,10,13
12,9,15,12,16,8,7,15,12,10,13
12,10,15,12,16,7,7,15,11,10,12
13,10,15,12,16,7,6,15,11,10,12
12,10,15,12,16,6,6,15,11,11,12
12,10,15,12,15,7,6,15,11,11,12
11,10,16,12,15,7,6,15,11,11,12
11,10,16,13,15,8,6,15,10,9,12
11,10,16,13,15,8,6,16,10,9,12
12,10,16,13,15,8,6,15,10,9,12
12,10,16,15,15,8,6,15,10,9,12
13,10,16,15,15,8,6,14,10,10,10
14,10,15,15,15,8,6,15,10,10,10
14,10,15,15,15,9,6,15,10,10,10
14,11,15,15,15,9,6,16,10,10,10
12,11,14,15,15,9,6,16,10,10,11
12,11,14,15,15,8,6,16,10,10,11
12,11,14,15,14,8,6,15,10,10,11
13,11,15,15,14,8,7,15,10,9,11
13,11,15,15,14,8,7,15,10,9,11
13,12,15,15,14,8,7,16,10,9,12
14,12,13,15,14,8,7,16,10,9,12
13,12,13,15,14,8,7,16,10,10,12
13,12,13,15,14,8,7,16,11,10,12
12,12,14,15,14,8,7,16,11,10,12
12,12,15,15,14,7,7,16,11,11,11
12,12,15,15,14,8,7,16,10,11,11
12,12,14,15,14,8,7,16,10,11,11
12,11,14,13,14,8,7,16,10,14,11
12,11,14,13,16,8,7,17,10,14,13
13,11,14,13,16,8,7,17,10,14,13
13,11,14,13,16,8,7,17,10,13,13
14,11,14,13,15,8,7,17,10,13,12
14,11,15,13,15,8,8,17,10,13,12
14,11,15,12,15,8,8,17,11,13,12
14,11,14,12,15,8,8,17,12,14,12
14,11,13,12,15,7,9,17,12,14,12
14,10,13,14,15,6,9,17,12,15,12
14,11,13,14,14,6,9,18,12,15,12
13,11,14,14,14,6,8,18,12,15,12
13,11,14,13,14,7,8,18,12,15,12
13,11,14,13,15,7,8,17,12,15,13
13,10,14,13,16,7,9,17,12,14,14
13,10,14,13,17,6,9,17,12,15,14
13,10,14,13,18,6,9,16,11,15,14
14,11,14,12,18,6,8,16,11,16,14
13,12,13,15,18,6,8,16,11,17,13
13,12,13,15,17,6,8,16,11,17,13
13,12,12,15,17,6,8,16,11,17,13
14,11,13,14,18,6,8,16,11,17,13
14,10,13,14,18,7,8,16,11,17,13
13,10,12,14,16,7,8,16,11,17,13
13,10,12,14,15,8,8,16,11,18,13
13,10,12,14,15,7,8,15,10,18,12
14,11,12,14,15,7,9,15,10,18,12
14,12,12,13,15,7,9,15,10,16,12
13,12,12,13,14,7,9,15,11,16,13
13,12,12,13,14,7,9,16,11,16,13
13,12,12,15,14,7,9,16,11,15,13
13,12,12,15,14,7,9,16,11,15,13
14,11,12,15,14,7,9,16,11,15,13
14,11,12,15,15,7,9,16,11,15,13
14,10,12,15,16,7,9,16,12,15,12
13,10,11,15,16,7,9,16,12,15,12
13,10,11,14,18,7,9,16,12,15,12
13,10,11,14,18,7,9,16,10,15,12
12,11,10,14,20,7,9,16,10,16,12
12,11,10,14,20,7,9,15,10,16,12
12,11,10,14,19,7,9,14,10,16,12
12,12,9,14,19,7,10,14,11,15,12
13,12,10,14,20,7,10,14,11,15,12
13,12,10,14,20,7,10,15,11,15,10
12,13,10,14,20,7,10,15,10,15,10
11,13,10,15,20,7,10,15,10,14,10
11,13,10,15,18,7,10,14,10,14,11
10,13,11,15,18,7,10,14,10,14,11
10,12,11,15,17,7,10,14,10,13,11
10,12,11,15,17,7,10,15,10,13,8
11,12,12,15,17,7,10,16,10,13,8
11,13,12,17,17,7,10,16,10,11,8
11,13,11,17,16,7,10,16,11,12,8
11,12,11,17,16,8,9,16,11,12,8
11,12,11,17,16,7,9,16,11,12,8
11,12,11,17,17,7,9,16,11,11,8
11,13,11,17,17,7,9,16,11,11,9
11,13,11,19,17,6,9,16,11,11,9
11,13,11,19,17,6,9,15,11,11,8
12,13,11,19,17,6,9,15,11,12,8
12,13,11,19,17,7,9,15,11,11,8
12,13,11,19,16,7,9,17,11,11,8
12,14,12,19,16,7,9,18,12,10,8
11,14,12,19,16,5,9,18,12,10,8
11,14,12,19,16,5,9,19,12,10,8
11,15,12,19,16,5,9,20,12,10,8
11,98,12,18,16,6,9,20,12,11,8
11,51,12,18,15,7,9,18,13,11,9
11,41,13,18,15,7,9,18,13,11,9
11,34,12,19,15,7,9,19,13,9,9
11,30,12,19,14,6,9,20,12,9,8
11,26,12,19,14,6,8,19,12,9,8
11,29,12,18,13,6,8,19,12,9,8
12,27,13,18,13,6,8,18,12,9,9
13,25,13,18,13,7,8,17,12,9,9
13,26,13,17,13,6,8,17,11,9,9
13,10,13,17,14,6,8,16,12,10,8
13,11,13,17,14,6,8,16,12,10,8
13,11,13,15,14,6,8,16,12,10,8
13,13,13,15,15,6,8,16,13,9,9
12,13,13,15,15,6,8,17,13,9,9
12,13,13,16,15,7,8,17,13,10,9
12,9,13,16,14,7,8,17,11,10,9
13,9,12,16,14,7,7,17,11,11,9
13,10,12,14,14,7,7,17,11,10,9
13,13,12,14,13,7,7,17,11,10,9
14,14,11,14,14,7,7,17,12,9,9
14,14,11,13,14,6,7,17,12,10,9
14,14,11,13,15,6,7,16,12,10,10
13,14,12,13,16,6,7,16,11,10,10
13,14,13,12,16,5,7,16,11,11,10
13,13,13,12,17,6,7,15,10,11,10
14,14,12,12,17,6,6,15,10,11,10
14,14,12,13,16,6,6,15,11,11,10
14,14,12,13,16,6,6,15,11,11,10
13,13,12,13,15,6,6,15,11,11,10
13,13,12,12,16,7,6,15,10,11,10
13,13,12,12,17,7,6,13,10,12,10
14,12,11,12,17,7,6,13,10,12,10
14,12,11,13,18,7,6,13,10,12,10
14,12,11,13,18,7,6,14,10,11,10
14,12,11,13,18,6,6,14,10,11,10
14,12,11,12,18,6,6,14,10,11,10
14,12,11,12,16,6,6,14,10,11,9
12,12,11,12,16,6,7,14,10,11,9
12,12,11,12,16,7,7,14,10,11,9
12,12,11,12,16,7,7,15,9,11,10
14,12,11,12,16,7,6,15,10,12,10
14,12,11,13,16,8,6,15,10,11,10
14,11,11,13,17,8,6,15,10,11,10
13,10,11,13,17,8,6,15,11,10,10
13,10,11,13,17,7,6,15,11,9,10
13,10,11,13,16,7,6,15,12,9,11
12,9,11,13,17,7,6,15,12,9,11
12,9,11,14,17,7,6,15,13,11,11
12,9,11,14,17,7,6,15,13,11,11
13,9,11,14,16,7,6,15,12,11,11
13,9,11,14,16,8,6,15,13,10,11
13,9,11,14,15,8,6,15,13,10,10
13,10,10,14,15,8,7,15,13,10,10
13,10,10,14,15,8,7,15,13,9,10
13,10,10,14,15,8,7,15,12,9,9
13,9,10,14,15,8,7,15,12,9,9
13,9,10,14,15,8,7,15,12,9,9
13,9,10,14,13,8,7,16,13,9,9
13,10,10,14,13,8,8,16,13,9,10
13,10,10,17,13,8,8,16,13,9,10
13,10,10,17,11,8,8,17,13,9,10
12,11,11,17,11,8,8,17,13,9,10
12,11,11,17,11,8,8,17,13,9,10
12,11,11,17,10,8,8,17,12,9,10
12,11,11,16,10,8,8,17,12,9,10
13,11,11,16,10,8,8,17,12,9,10
13,11,11,16,11,8,8,17,11,9,11
13,11,10,16,12,8,7,17,11,9,11
13,11,10,16,12,8,7,17,11,10,11
13,11,10,16,11,8,7,16,11,10,11
12,10,10,16,11,8,7,16,12,10,11
12,10,10,17,11,8,7,16,12,9,11
12,10,10,17,10,8,7,16,12,9,11
11,10,10,17,9,8,8,16,12,9,11
11,10,10,16,9,8,8,16,12,9,11
11,10,10,16,10,8,8,16,11,9,11
11,11,10,16,10,8,8,16,11,9,11
11,11,10,15,10,9,8,16,11,9,11
11,11,10,16,9,9,8,15,10,10,11
11,11,10,16,9,9,9,15,10,10,11
11,11,10,16,9,8,9,15,10,9,11
11,11,10,15,10,8,9,15,11,9,11
11,10,11,15,10,8,8,16,11,9,11
11,11,11,15,10,8,8,16,11,10,11
11,11,11,15,9,8,8,17,11,10,12
10,11,11,15,9,8,8,16,11,10,12
10,10,11,15,9,7,8,16,11,9,12
10,10,11,15,11,7,8,15,10,9,13
10,11,11,15,11,7,7,15,10,9,13
10,11,10,14,11,6,7,15,10,9,13
10,11,10,14,12,6,7,14,10,9,14
10,11,12,14,12,6,8,14,10,9,14
9,11,13,12,12,7,8,14,10,10,14
9,12,13,12,12,8,8,14,10,10,13
9,11,13,12,12,8,7,14,10,10,13
9,11,13,13,12,8,7,14,10,10,13
10,11,13,13,12,8,7,14,10,10,13
10,10,13,13,12,8,7,14,10,10,13
10,10,13,14,11,8,7,14,10,10,13
10,10,13,14,12,8,7,13,10,10,12
10,11,13,14,12,8,9,13,10,10,12
10,11,13,14,13,7,9,13,10,11,12
10,11,13,14,13,7,9,13,10,11,11
11,11,13,14,13,7,8,13,10,11,11
11,10,13,14,13,8,8,13,10,11,11
11,10,13,14,12,8,8,12,10,11,12
10,9,15,14,12,8,8,12,10,11,12
10,9,15,15,12,7,8,12,10,11,12
10,9,15,15,13,7,8,13,10,11,13
12,9,13,15,13,7,7,13,10,11,13
12,9,14,15,13,6,7,12,10,11,13
12,9,12,15,12,6,7,11,10,11,12
12,9,14,15,12,6,7,11,10,11,12
11,9,14,15,12,7,7,12,10,11,12
11,9,14,15,12,7,7,11,10,11,11
11,9,14,15,13,7,6,11,10,11,11
11,9,13,15,13,6,6,11,10,11,11
11,9,13,15,12,7,6,11,10,11,11
10,8,13,15,12,7,7,11,10,11,11
10,8,13,14,12,7,8,11,10,11,11
10,8,13,14,12,7,8,10,10,11,10
10,10,13,14,12,6,8,10,10,11,10
10,10,13,14,11,4,8,10,10,10,10
11,10,13,14,11,4,8,12,10,10,10
12,9,13,14,11,5,9,12,10,10,10
12,9,13,14,11,5,9,12,10,11,10
12,9,13,14,10,5,9,12,10,11,10
11,10,13,14,10,5,9,12,10,11,11
11,10,13,13,10,6,9,12,10,11,11
11,10,13,13,11,6,9,12,11,11,12
13,10,11,13,11,6,7,12,11,11,12
13,10,11,11,11,6,7,12,11,11,12
13,10,11,11,11,6,7,13,11,11,11
12,10,11,11,11,6,7,13,11,11,11
11,10,11,11,11,6,7,13,11,11,11
11,10,11,11,11,6,7,13,10,13,11
11,10,10,11,12,6,7,13,10,13,11
12,10,10,10,12,6,7,13,10,13,11
12,10,10,10,13,6,7,13,9,14,10
12,11,10,10,13,6,7,13,10,15,10
12,11,10,11,13,6,7,13,10,16,10
12,11,10,11,13,6,7,13,10,15,11
12,11,9,11,12,6,8,13,10,16,11
12,11,10,11,12,5,8,13,10,16,11
12,11,10,11,12,5,8,13,10,15,11
12,11,11,11,12,5,7,13,10,15,11
12,11,11,12,12,5,7,13,10,15,11
12,11,11,12,12,5,7,13,10,15,11
12,11,11,12,12,4,7,13,10,15,11
12,11,11,14,13,5,7,13,10,15,11
12,11,11,13,13,5,7,13,10,15,11
12,10,11,13,13,5,7,14,10,15,11
12,11,11,13,13,7,7,14,10,15,11
12,11,11,13,12,7,7,14,11,15,11
12,12,10,13,12,7,6,14,11,15,11
12,11,10,13,12,7,6,14,11,14,11
12,11,10,13,13,7,6,15,11,14,9
12,10,11,13,13,7,6,15,11,14,9
12,10,11,15,13,7,6,15,11,14,9
11,11,11,15,13,7,6,15,10,14,9
11,12,11,15,13,7,6,15,10,14,9
10,12,11,14,13,7,6,15,10,14,9
11,12,11,14,12,7,6,15,10,14,10
11,11,10,14,12,7,7,15,10,14,10
12,11,10,14,12,7,7,15,10,13,10
12,11,10,14,13,7,7,15,10,13,10
12,12,10,14,13,7,7,15,10,13,10
11,12,10,14,13,7,7,15,10,13,10
11,12,10,15,12,7,7,14,10,13,10
11,10,10,15,12,7,7,14,10,13,10
11,10,10,15,12,9,7,14,10,12,10
11,10,10,14,12,9,7,14,10,12,9
11,9,10,14,12,9,7,14,10,12,9
13,9,10,14,12,9,7,14,10,12,9
13,9,9,14,10,9,7,14,11,13,9
13,10,8,14,10,10,7,14,11,13,9
13,10,8,14,10,10,7,14,11,13,9
13,10,8,14,10,10,7,14,10,13,9
13,10,8,14,10,10,8,14,10,13,9
14,9,8,13,10,9,8,14,10,13,9
14,9,8,13,10,9,8,13,10,13,9
14,8,8,13,10,9,7,13,10,13,9
14,8,8,13,10,8,7,13,10,12,9
14,9,8,13,11,9,7,12,10,12,10
14,8,9,13,12,9,6,12,10,12,10
14,8,9,13,12,7,6,12,10,13,10
14,7,9,13,12,7,6,12,9,13,10
14,8,8,13,11,7,6,12,9,13,10
14,8,9,12,11,7,7,12,9,13,10
14,8,9,12,11,8,7,12,9,13,10
14,8,9,12,11,8,7,12,9,13,10
14,8,9,12,12,8,6,12,9,13,10
14,8,9,12,12,7,6,12,9,13,9
14,8,10,12,12,7,5,12,9,13,9
15,8,10,12,11,6,5,12,8,13,9
15,8,10,12,12,6,5,13,9,13,9
15,8,10,12,12,6,6,13,9,13,10
15,8,10,11,12,7,6,13,9,14,10
15,8,10,11,12,7,7,13,10,14,11
15,9,11,11,12,7,6,13,10,14,11
14,10,11,11,12,7,6,13,10,13,11
14,10,11,11,13,7,6,13,11,13,11
14,10,12,11,13,7,7,13,11,12,11
13,10,12,11,13,7,7,13,11,12,11
13,9,12,11,14,7,7,13,10,12,11
13,9,12,11,14,7,7,13,10,13,11
12,9,12,11,14,8,7,13,10,12,11
11,10,12,11,14,8,7,14,11,12,11
11,11,11,11,14,8,7,14,12,12,11
11,11,11,11,14,7,7,14,12,12,11
11,10,11,11,14,7,7,14,13,12,11
12,11,11,11,14,7,7,14,13,12,11
12,11,11,11,13,8,7,14,13,12,11
12,11,11,11,12,8,7,14,13,12,10
11,13,11,11,12,8,7,14,13,12,10
11,13,11,12,13,7,7,14,13,12,10
11,13,11,12,12,7,6,13,13,12,10
12,11,12,12,12,7,6,13,13,12,10
12,11,12,14,12,8,6,13,12,11,10
12,11,12,13,12,8,7,14,13,11,10
12,12,12,13,12,8,6,14,13,11,10
10,12,12,13,12,7,6,14,13,11,10
10,12,12,13,11,7,6,14,13,11,10
10,12,11,13,11,7,6,14,13,11,10
10,12,11,13,11,7,6,14,13,12,10
10,12,11,13,9,7,6,13,12,12,10
10,13,11,13,9,7,7,13,12,12,10
9,13,11,13,9,6,7,13,12,13,10
8,14,11,13,9,6,7,13,12,13,8
8,13,11,13,9,6,7,13,11,13,8
8,13,11,13,9,7,7,13,11,12,8
8,12,11,13,9,7,7,13,11,12,8
8,13,10,13,9,7,7,13,12,12,8
8,13,10,13,9,6,7,13,12,12,8
8,13,10,13,8,6,7,13,10,12,8
9,12,9,13,8,6,7,13,9,12,8
8,12,9,12,8,6,7,13,9,12,8
8,12,9,12,8,6,7,13,9,12,9
8,13,10,12,8,6,7,13,9,12,9
8,13,10,13,8,6,7,13,10,12,9
8,13,10,13,9,6,7,13,10,12,9
8,13,10,13,9,6,8,13,10,12,9
9,13,10,14,9,5,8,13,10,12,9
9,13,10,14,9,5,8,13,10,12,9
9,13,10,14,9,5,9,13,10,12,9
9,13,10,13,9,6,9,13,10,11,9
9,13,10,13,9,6,9,13,9,11,9
9,13,9,13,9,6,8,13,9,11,9
9,13,9,13,9,6,8,13,9,12,9
9,13,9,13,10,6,8,13,8,12,8
9,12,9,13,10,6,9,13,8,12,8
9,12,9,13,10,5,9,13,8,11,8
9,11,9,13,10,5,9,13,9,11,8
9,11,9,13,10,5,8,13,10,11,8
9,11,9,14,10,6,8,13,10,11,8
9,12,9,14,11,6,8,13,10,11,8
9,11,10,14,11,6,7,13,10,11,8
10,11,10,14,11,6,8,13,10,10,8
10,11,10,14,11,6,8,14,9,10,9
10,11,10,14,11,6,8,14,9,10,9
10,11,10,15,11,7,8,14,9,10,9
10,11,10,15,12,7,8,14,10,10,8
10,9,10,15,12,7,8,14,10,10,8
,9,10,15,12,6,8,14,10,11,8
,9,9,15,12,6,8,14,10,11,8
,10,10,15,12,6,7,14,10,11,9
,10,10,15,12,7,7,14,10,10,9
,10,11,15,13,7,6,14,9,10,9
,9,10,15,13,7,6,14,9,10,9
,10,10,15,13,8,6,14,9,11,9
,10,10,15,12,8,6,15,9,11,8
,9,9,15,12,8,7,15,9,11,8
,9,9,14,12,8,7,15,9,11,8
,9,9,14,13,8,7,16,9,11,8
,9,9,14,13,8,6,16,9,11,8
,9,9,14,13,6,6,16,9,11,7
,9,9,14,13,6,6,16,9,11,8
,10,9,14,13,6,6,16,10,11,8
,10,8,15,13,6,7,16,10,11,8
,10,8,15,13,7,7,16,10,11,9
,11,9,15,13,7,7,16,9,11,9
,11,10,15,13,7,7,16,9,11,9
,11,10,15,13,7,7,15,9,11,8
,11,10,15,13,7,7,15,9,11,8
,11,10,15,13,7,7,15,9,11,8
,11,9,15,12,7,6,15,10,11,8
,11,9,15,12,6,6,15,10,11,9
,11,9,14,12,5,6,15,10,11,9
,11,10,14,12,5,7,14,10,11,9
,11,9,14,12,5,6,14,10,11,8
,11,9,13,12,5,6,14,10,12,8
,11,9,13,11,5,6,14,10,12,8
,11,11,13,11,6,6,14,10,12,9
,11,11,13,11,6,6,14,10,12,9
